ReadPos	CntRef	CntNonRef	TotalCnt	Freq	AvQual	AvQualRef	AvQualNonRef
1	377809	1492	379301	0.00393355145385854	0.00135387925561543	0.00132566177893173	0.00849919872508503
2	378009	1292	379301	0.00340626573618314	0.00131571672464079	0.00128806013282838	0.00940738902685586
3	377626	1675	379301	0.00441601788553154	0.0013163261944557	0.00128552637176714	0.00826009565274384
4	378472	829	379301	0.00218559929976457	0.00126623706589661	0.00124157515322242	0.012525396792856
5	378054	1247	379301	0.00328762644970617	0.00127708826229137	0.00125490845147853	0.0080013594708401
6	378283	1018	379301	0.00268388430296783	0.00126485889877023	0.00124190467808717	0.00979451652418157
7	377934	1367	379301	0.00360399788031141	0.00126335825056212	0.0012439744076536	0.00662240235137201
8	378135	1166	379301	0.00307407573404763	0.00123257537192307	0.00121099837559477	0.0082300174873761
9	378161	1140	379301	0.00300552859074983	0.0012388590472103	0.00121346509200466	0.00966254632311648
10	378361	940	379301	0.00247824287307442	0.00123123214217451	0.00120268283050068	0.0127226641786069
11	378424	877	379301	0.00231214787200666	0.00120423052938612	0.00118280251352702	0.0104503827226267
12	377579	1722	379301	0.00453993002918526	0.00116203753987177	0.00114099196621994	0.00577665232146107
13	378214	1087	379301	0.00286579787556584	0.00118736793854976	0.0011621784882912	0.00995185987976933
14	377935	1366	379301	0.00360136145172304	0.001142737679759	0.00111881308789402	0.00776202071527094
15	377832	1469	379301	0.00387291359632587	0.00111342712245015	0.00109443453302095	0.00599838835405834
16	378123	913	379036	0.00240874217752403	0.00106847210076682	0.00104971151704362	0.008838251070305
17	377487	1260	378747	0.00332675902383385	0.00108448161455194	0.00106872308554634	0.00580562434372145
18	377532	903	378435	0.00238614293075429	0.00107359992139974	0.00105338923533801	0.00952341246876862
19	377038	1023	378061	0.00270591253792377	0.00107407108951048	0.00105955097477486	0.00642562047337574
20	376285	1417	377702	0.00375163488676258	0.00106905969892676	0.00104827274084105	0.00658904595389686
21	376048	1255	377303	0.00332623912346311	0.00101211213591621	0.000993690604748086	0.00653193679944206
22	375084	1715	376799	0.00455149827892325	0.000985879320853805	0.000971469027740716	0.00413752385849065
23	375430	715	376145	0.00190086269922503	0.000999665300192646	0.000983268766433237	0.00960910679571527
24	374041	1030	375071	0.00274614672955254	0.00100684617693574	0.000989969275027567	0.00713563575620203
25	372315	1239	373554	0.00331678954046804	0.00100221388174935	0.000987900806292744	0.00530324107192711
26	369759	1534	371293	0.00413150800042015	0.00100687050587214	0.000988803950684354	0.00536167583812711
27	368011	1272	369283	0.00344451274496795	0.00101261035955073	0.000995297705758193	0.00602145236808363
28	366251	1093	367344	0.00297541269219043	0.00096743884128912	0.000955873360434562	0.00484289074292318
29	364050	1373	365423	0.00375728949737701	0.000991634005782558	0.000974925022268652	0.00542200942329533
30	362256	962	363218	0.0026485471535001	0.000964135825649041	0.000950623704158341	0.00605233445635634
