ReadPos	CntRef	CntNonRef	TotalCnt	Freq	AvQual	AvQualRef	AvQualNonRef
160	386608	3864	390472	0.00989571595402487	0.00160285485290998	0.00155456301152635	0.00643463855208873
161	382540	5749	388289	0.0148059821421673	0.00175973813431357	0.00170569980561518	0.0053554630012865
162	379640	6132	385772	0.0158953993550595	0.00172006744231607	0.00165772418477847	0.00557981863140905
163	378279	4457	382736	0.0116451026294887	0.00168616505296727	0.00163645462775319	0.00590523840712864
164	373503	4784	378287	0.0126464826969999	0.00166999949447474	0.00161889885090642	0.0056595989248001
165	364536	3609	368145	0.00980320254247647	0.00173105567842894	0.00167253376044918	0.00764220721421041
166	357323	4446	361769	0.0122896102208868	0.00191550663397409	0.00186233586329514	0.0061888173157651
167	335500	3769	339269	0.0111091788521792	0.00179325988031813	0.00174626616181672	0.0059764364675284
168	332104	5241	337345	0.0155360239517408	0.001685299895346	0.00164292162680885	0.00437066385150474
169	331631	3625	335256	0.010812632734388	0.00180429211628917	0.00175099023763001	0.00668058323948072
170	327648	5454	333102	0.0163733631140011	0.00181756419114485	0.00177018107727917	0.00466409563445164
171	325590	5298	330888	0.0160114600710815	0.00184759674457278	0.0017827748069715	0.00583124617143884
172	325072	3342	328414	0.0101761800654053	0.00212994096406719	0.00206260413756485	0.00867970663275414
173	320991	4713	325704	0.0144701937955935	0.00190205948355092	0.00185020067805872	0.00543403695728514
174	318588	4289	322877	0.0132836962682384	0.00196076705057456	0.00190187781769397	0.00633507409765345
175	316068	3920	319988	0.0122504593922272	0.00209624042645175	0.0020382995803301	0.00676798719990331
176	312249	4549	316798	0.014359307823913	0.00228595108755098	0.00220527038724988	0.00782397438680004
177	310028	3162	313190	0.0100961077939909	0.00227509635281111	0.0022070428545397	0.00894761057231528
178	306109	3367	309476	0.0108796804921868	0.00221949281521013	0.00214761782714738	0.00875396882378832
179	300962	4099	305061	0.0134366569309089	0.00210978007706153	0.00203875579176297	0.00732461563499819
180	295852	3388	299240	0.0113220157732923	0.00208021681437927	0.00202481133321423	0.00691841705452299
181	287149	4595	291744	0.0157501096852035	0.00231286816144507	0.00224492688377119	0.00655862875834525
182	277377	3369	280746	0.0120001709730504	0.00221136882353029	0.00214660460019468	0.00754354631719521
183	259987	3328	263315	0.0126388546038015	0.00227993613085108	0.0022109951957571	0.00766567738451975
184	235389	2620	238009	0.0110079870929251	0.00227120718690683	0.00219490938266476	0.00912604071466403
185	182331	2482	184813	0.0134297911943424	0.00246710331412812	0.00237672919896633	0.00910610524465796
186	86842	1023	87865	0.0116428612075343	0.00290822304635306	0.00278351639280203	0.013494513571966
